,0,1,2
120,1.0,2.0,1.0
121,1.0,2.0,1.0
122,1.0,2.0,1.0
123,1.0,2.0,1.0
124,1.0,2.0,1.0
125,1.0,2.0,1.0
126,1.0,2.0,1.0
127,1.0,2.0,5.0
128,1.0,2.0,1.0
129,1.0,2.0,1.0
130,1.0,2.0,1.0
131,1.0,2.0,1.0
132,1.0,1.0,1.0
133,1.0,1.0,1.0
134,1.0,1.0,1.0
135,1.0,1.0,1.0
136,1.0,2.0,2.0
137,2.0,1.0,1.0
138,1.0,1.0,1.0
139,1.0,1.0,1.0
140,4.0,1.0,1.0
141,4.0,1.0,1.0
142,4.0,1.0,1.0
143,4.0,1.0,1.0
144,2.0,1.0,1.0
145,2.0,1.0,1.0
146,2.0,1.0,1.0
147,3.0,1.0,1.0
148,3.0,1.0,1.0
149,3.0,1.0,1.0
150,3.0,1.0,1.0
151,3.0,1.0,1.0
152,2.0,1.0,1.0
153,2.0,1.0,9.0
154,2.0,1.0,4.0
155,2.0,1.0,8.0
156,2.0,1.0,1.0
157,2.0,1.0,1.0
158,2.0,1.0,1.0
159,2.0,1.0,1.0
160,2.0,1.0,1.0
161,2.0,1.0,1.0
162,3.0,4.0,4.0
163,3.0,4.0,4.0
164,3.0,4.0,4.0
165,3.0,4.0,4.0
166,3.0,4.0,4.0
167,3.0,1.0,1.0
168,3.0,1.0,1.0
169,3.0,1.0,1.0
170,3.0,1.0,1.0
171,3.0,9.0,7.0
172,3.0,4.0,4.0
173,1.0,4.0,4.0
174,2.0,4.0,4.0
175,2.0,4.0,4.0
176,2.0,4.0,4.0
177,2.0,1.0,1.0
178,2.0,1.0,1.0
179,2.0,1.0,2.0
180,1.0,4.0,1.0
181,1.0,4.0,1.0
182,1.0,4.0,1.0
183,1.0,4.0,1.0
184,1.0,1.0,1.0
185,1.0,1.0,1.0
186,1.0,1.0,1.0
187,1.0,1.0,1.0
188,1.0,1.0,1.0
189,1.0,1.0,1.0
190,1.0,1.0,1.0
191,1.0,3.0,2.0
192,1.0,2.0,2.0
193,1.0,2.0,2.0
194,1.0,2.0,4.0
195,1.0,2.0,2.0
196,1.0,2.0,2.0
197,1.0,2.0,2.0
198,1.0,10.0,5.0
199,10.0,5.0,6.0
200,2.0,5.0,6.0
201,3.0,5.0,1.0
202,3.0,7.0,3.0
203,3.0,7.0,3.0
204,3.0,4.0,5.0
205,1.0,6.0,1.0
206,1.0,5.0,1.0
207,1.0,2.0,1.0
208,1.0,10.0,1.0
209,1.0,10.0,1.0
210,1.0,3.0,1.0
211,1.0,5.0,1.0
212,1.0,5.0,1.0
213,1.0,5.0,1.0
214,1.0,5.0,1.0
215,1.0,5.0,1.0
216,1.0,5.0,1.0
217,1.0,5.0,1.0
218,1.0,5.0,1.0
219,1.0,5.0,1.0
220,1.0,5.0,1.0
221,1.0,2.0,1.0
222,1.0,2.0,1.0
223,1.0,2.0,1.0
224,1.0,2.0,1.0
225,1.0,2.0,1.0
226,1.0,2.0,1.0
227,1.0,5.0,1.0
228,1.0,6.0,1.0
229,1.0,6.0,1.0
230,1.0,6.0,5.0
231,2.0,1.0,1.0
232,2.0,1.0,1.0
233,2.0,1.0,1.0
234,2.0,1.0,1.0
235,2.0,1.0,1.0
236,2.0,1.0,1.0
237,2.0,1.0,1.0
238,2.0,1.0,1.0
239,2.0,1.0,1.0
240,2.0,1.0,1.0
241,2.0,1.0,1.0
242,2.0,1.0,1.0
243,2.0,1.0,1.0
244,2.0,1.0,1.0
245,4.0,1.0,4.0
246,10.0,3.0,7.0
247,5.0,3.0,3.0
248,1.0,2.0,1.0
249,1.0,2.0,1.0
250,1.0,2.0,1.0
251,1.0,2.0,1.0
252,5.0,2.0,1.0
253,5.0,2.0,9.0
254,5.0,2.0,1.0
255,5.0,6.0,1.0
256,5.0,2.0,9.0
257,5.0,7.0,2.0
258,5.0,7.0,5.0
259,5.0,1.0,5.0
260,3.0,2.0,3.0
261,3.0,1.0,3.0
262,3.0,1.0,3.0
263,3.0,1.0,3.0
264,3.0,1.0,3.0
265,3.0,4.0,3.0
266,3.0,1.0,3.0
267,3.0,1.0,3.0
268,3.0,1.0,1.0
269,8.0,4.0,8.0
270,8.0,4.0,8.0
271,8.0,7.0,8.0
272,8.0,6.0,8.0
273,8.0,6.0,8.0
274,8.0,1.0,8.0
275,8.0,1.0,8.0
276,5.0,1.0,2.0
277,6.0,1.0,2.0
278,6.0,1.0,2.0
279,7.0,3.0,2.0
280,4.0,3.0,2.0
281,2.0,3.0,2.0
282,2.0,3.0,2.0
283,2.0,3.0,2.0
284,2.0,3.0,2.0
285,2.0,3.0,2.0
286,2.0,3.0,2.0
287,2.0,3.0,5.0
288,2.0,3.0,1.0
289,1.0,2.0,2.0
290,1.0,1.0,5.0
291,1.0,1.0,1.0
292,1.0,1.0,1.0
293,1.0,1.0,1.0
294,1.0,1.0,1.0
295,1.0,1.0,1.0
296,1.0,1.0,1.0
297,2.0,1.0,1.0
298,3.0,1.0,1.0
299,3.0,1.0,1.0
300,3.0,1.0,1.0
301,3.0,1.0,1.0
302,3.0,1.0,1.0
303,1.0,2.0,1.0
304,1.0,1.0,1.0
305,1.0,1.0,7.0
306,3.0,1.0,3.0
307,3.0,4.0,1.0
308,1.0,2.0,1.0
309,1.0,2.0,1.0
310,1.0,2.0,1.0
311,1.0,1.0,1.0
312,1.0,2.0,2.0
313,2.0,3.0,1.0
314,2.0,1.0,1.0
315,2.0,1.0,1.0
316,3.0,4.0,1.0
317,3.0,2.0,10.0
318,3.0,2.0,10.0
319,5.0,2.0,7.0
320,3.0,5.0,5.0
321,3.0,4.0,5.0
322,3.0,8.0,8.0
323,3.0,8.0,6.0
324,10.0,5.0,6.0
325,3.0,5.0,1.0
326,3.0,1.0,1.0
327,3.0,1.0,4.0
328,2.0,1.0,2.0
329,2.0,1.0,2.0
330,2.0,1.0,2.0
331,2.0,1.0,2.0
332,2.0,1.0,2.0
333,2.0,1.0,2.0
334,2.0,3.0,2.0
335,2.0,3.0,2.0
336,2.0,8.0,1.0
337,10.0,8.0,1.0
338,3.0,5.0,3.0
339,3.0,2.0,3.0
340,3.0,5.0,3.0
341,3.0,5.0,3.0
342,3.0,7.0,3.0
343,3.0,7.0,3.0
344,3.0,7.0,4.0
345,10.0,7.0,1.0
346,1.0,7.0,1.0
347,1.0,2.0,1.0
348,1.0,2.0,1.0
349,1.0,2.0,1.0
350,1.0,2.0,1.0
351,1.0,3.0,1.0
352,1.0,3.0,1.0
353,1.0,2.0,2.0
354,1.0,1.0,7.0
355,1.0,1.0,1.0
356,6.0,5.0,9.0
357,1.0,5.0,1.0
358,1.0,10.0,1.0
359,1.0,2.0,1.0
360,1.0,3.0,1.0
361,1.0,3.0,1.0
362,1.0,3.0,1.0
363,1.0,3.0,1.0
364,1.0,1.0,1.0
365,1.0,1.0,1.0
366,1.0,1.0,1.0
367,10.0,3.0,4.0
368,8.0,3.0,10.0
369,10.0,8.0,7.0
370,2.0,8.0,2.0
371,2.0,8.0,4.0
372,2.0,8.0,7.0
373,2.0,3.0,1.0
374,2.0,3.0,1.0
375,1.0,2.0,1.0
376,1.0,5.0,1.0
377,1.0,5.0,1.0
378,1.0,7.0,1.0
379,4.0,7.0,1.0
380,1.0,7.0,1.0
381,6.0,7.0,2.0
382,6.0,4.0,1.0
383,6.0,2.0,1.0
384,6.0,2.0,1.0
385,4.0,2.0,4.0
386,10.0,4.0,2.0
387,1.0,4.0,5.0
388,2.0,4.0,9.0
389,2.0,3.0,2.0
390,2.0,3.0,2.0
391,2.0,3.0,2.0
392,2.0,3.0,2.0
393,2.0,3.0,2.0
394,2.0,3.0,1.0
395,1.0,3.0,1.0
396,1.0,3.0,1.0
397,1.0,3.0,2.0
398,1.0,2.0,3.0
399,4.0,2.0,2.0
400,5.0,2.0,1.0
401,3.0,1.0,1.0
402,3.0,1.0,1.0
403,3.0,1.0,1.0
404,2.0,1.0,1.0
405,2.0,1.0,3.0
406,2.0,1.0,1.0
407,2.0,1.0,1.0
408,2.0,2.0,1.0
409,2.0,2.0,1.0
410,2.0,1.0,4.0
411,2.0,1.0,3.0
412,2.0,1.0,3.0
413,7.0,1.0,6.0
414,6.0,10.0,2.0
415,4.0,2.0,1.0
416,4.0,6.0,1.0
417,4.0,3.0,5.0
418,4.0,3.0,3.0
419,4.0,3.0,3.0
420,4.0,1.0,1.0
421,4.0,1.0,1.0
422,4.0,1.0,1.0
423,4.0,1.0,1.0
424,4.0,1.0,1.0
425,4.0,1.0,1.0
426,4.0,1.0,1.0
427,4.0,1.0,1.0
428,8.0,1.0,1.0
429,8.0,3.0,1.0
430,6.0,3.0,1.0
431,6.0,3.0,1.0
432,6.0,3.0,10.0
433,2.0,3.0,10.0
434,2.0,3.0,1.0
435,2.0,3.0,4.0
436,1.0,1.0,5.0
437,1.0,1.0,1.0
438,2.0,5.0,5.0
439,2.0,1.0,1.0
440,1.0,4.0,1.0
441,10.0,4.0,1.0
442,3.0,2.0,6.0
443,7.0,1.0,4.0
444,4.0,8.0,2.0
445,2.0,8.0,3.0
446,3.0,8.0,6.0
447,1.0,8.0,4.0
448,8.0,2.0,3.0
449,8.0,2.0,4.0
450,2.0,3.0,3.0
