,X0,X1,X2,X3
180,-5.51392,-5.57843,-1.76402,-4.47544
181,-5.54906,-5.47646,-1.68903,-4.43103
182,-5.07997,-5.65271,-1.73538,-4.51988
183,-5.19155,-5.56246,-1.67544,-4.47407
184,-5.09001,-5.58739,-1.71562,-4.51131
185,-5.15437,-5.55085,-1.6711,-4.58192
186,-5.51526,-5.47222,-1.76646,-4.46905
187,-5.46986,-5.42536,-1.71449,-4.38829
188,-5.56239,-5.39781,-1.76136,-4.48145
189,-5.21347,-5.51639,-1.75721,-4.53916
190,-5.11581,-5.62812,-1.80717,-4.48362
191,-5.49201,-5.43008,-1.67863,-4.53214
192,-5.61549,-5.46038,-1.77085,-4.44089
193,-5.31374,-5.42653,-1.74337,-4.52718
194,-5.32682,-5.6553,-1.76115,-4.4709
195,-5.21378,-5.66033,-1.80022,-4.47592
196,-5.51182,-5.40082,-1.7305,-4.4744
197,-5.51896,-5.61795,-1.73818,-4.42267
198,-5.51789,-5.57281,-1.72059,-4.44802
199,-5.50179,-5.41797,-1.67204,-4.51948
200,-5.55182,-5.53004,-1.70723,-4.4389
201,-5.78757,-5.47563,-1.68917,-4.52145
202,-5.53345,-5.54417,-1.77247,-4.5076
203,-5.50699,-5.48875,-1.61323,-4.45951
204,-5.20949,-5.46174,-1.76201,-4.4203
205,-5.2432,-5.43615,-1.78466,-4.44195
206,-5.28109,-5.54631,-1.65727,-4.47448
207,-5.62683,-5.37115,-1.7538,-4.51904
208,-5.90696,-5.52202,-1.67735,-4.43506
209,-5.48791,-5.38191,-1.7997,-4.47776
210,-5.46094,-5.44671,-1.77944,-4.45954
211,-5.58253,-5.51479,-1.66918,-4.57368
212,-5.68552,-5.5031,-1.61959,-4.56747
213,-5.28199,-5.4802,-1.81943,-4.44995
214,-5.78072,-5.45826,-1.76823,-4.45141
215,-5.28374,-5.47903,-1.73067,-4.52799
216,-5.3155,-5.51833,-1.72176,-4.58187
217,-5.36692,-5.50334,-1.73275,-4.49805
218,-5.30864,-5.5126,-1.65231,-4.53454
219,-5.32701,-5.48006,-1.66846,-4.58157
220,-5.29372,-5.52549,-1.71811,-4.53797
221,-5.80125,-5.3419,-1.75664,-4.46437
222,-5.52654,-5.40324,-1.73196,-4.43469
223,-5.52425,-5.42925,-1.72073,-4.54649
224,-5.29757,-5.51382,-1.68465,-4.42264
225,-5.29769,-5.5829,-1.77524,-4.43194
226,-5.36626,-5.35779,-1.76726,-4.51184
227,-5.31835,-5.49669,-1.78531,-4.48474
228,-5.08432,-5.46994,-1.74832,-4.60532
229,-5.46797,-5.54176,-1.69013,-4.43314
230,-5.50531,-5.40879,-1.76307,-4.46798
231,-5.35465,-5.58916,-1.749,-4.47265
232,-5.25626,-5.5409,-1.81861,-4.52822
233,-5.06523,-5.43875,-1.74353,-4.52437
234,-5.41108,-5.48461,-1.81594,-4.53216
235,-5.53533,-5.49426,-1.72882,-4.55635
236,-5.22328,-5.44833,-1.84081,-4.46752
237,-5.09716,-5.51145,-1.85649,-4.45599
238,-5.26078,-5.4052,-1.6554,-4.50037
239,-5.29558,-5.47439,-1.79814,-4.46598
240,-5.06832,-5.45507,-1.81417,-4.55021
241,-4.93774,-5.49748,-1.78312,-4.55018
242,-5.53198,-5.37908,-1.7062,-4.4959
243,-5.74119,-5.3518,-1.71055,-4.39444
244,-5.54873,-5.52569,-1.75281,-4.47831
245,-5.64538,-5.41261,-1.65179,-4.52658
246,-5.62376,-5.54535,-1.80704,-4.465
